C1	13.91	60.70	180.00	104	C0603
C10	13.90	52.80	0.00	104	C0603
C11	13.90	48.31	0.00	104	C0603
C12	22.37	49.82	180.00	20p	C0603
C13	18.56	42.28	90.00	20p	C0603
C14	23.08	42.28	90.00	20p	C0603
C15	26.63	21.90	180.00	223	C0603
C16	19.62	74.43	180.00	0.1u	C0603
C17	24.18	74.43	180.00	500p	C0603
C18	28.75	74.43	0.00	500p	C0603
C2	18.36	25.85	180.00	105	C0603
C3	13.90	43.58	0.00	104	C0603
C4	18.36	31.88	0.00	104	C0603
C5	26.63	12.89	180.00	105	C0805
C6	26.63	25.27	180.00	106	C0805
C7	26.63	8.66	180.00	104	C0603
C8	18.36	23.00	0.00	104	C0603
C9	22.34	52.64	180.00	20p	C0603
R1	25.57	56.52	180.00	510	R0603
R10	26.63	31.22	0.00	1.5k	R0603
R11	26.63	34.41	180.00	20	R0603
R12	24.18	70.96	0.00	100	R0603
R13	28.75	70.96	180.00	100	R0603
R2	18.36	28.88	0.00	10k	R0603
R3	26.63	37.84	180.00	100k	R0603
R4	18.36	20.04	180.00	100k	R0603
R5	18.65	56.52	0.00	510	R0603
R6	13.90	39.87	0.00	1M	R0603
R7	19.62	70.96	0.00	4.7k	R0603
R9	26.63	28.49	0.00	20	R0603
U1	26.63	17.13	90.00	RT9193-33GB	SOT94P279X129-5N
